"PRODUCT NUMBER","PRODUCT NAME","PRODUCT DESCRIPTION","PRODUCT BRAND","PRODUCT LINE","PRODUCT TYPE","PRODUCT COLOR","PRODUCT SIZE","INTRODUCTION DATE"
"28110","Canyon Mule Cooler","A durable plastic cooler with hinged top, perfect for storing small items. Size:100 x 50 x 50 cm.","Canyon Mule","Camping Equipment","Packs","Blue","250000 cc","2001-02-15 00:00:00.000000"
"105110","Hailstorm Titanium Woods Set","Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel.  Includes 3 Wood, 5 Wood and 12 degree driver.","Hailstorm","Golf Equipment","Woods","Bronze","Men's","2009-12-27 00:00:00.000000"
"106110","Hailstorm Steel Woods Set","These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver.","Hailstorm","Golf Equipment","Woods","Mahogany","Men's","2009-12-05 00:00:00.000000"
"107110","Lady Hailstorm Titanium Woods Set","Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel. Includes 3 Wood, 5 Wood and 12 degree driver.","Hailstorm","Golf Equipment","Woods","Bronze","Women's","2010-01-13 00:00:00.000000"
"108110","Lady Hailstorm Steel Woods Set","These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver.","Hailstorm","Golf Equipment","Woods","Mahogany","Women's","2009-12-27 00:00:00.000000"
"109110","Course Pro Putter","High quality putter is cast  from a soft yellow brass alloy to give the putter its uniquely soft feel at impact.","Course Pro","Golf Equipment","Putters","Brass","One-size","2009-12-10 00:00:00.000000"
"66110","Mountain Man Combination","Combination watch, altimeter, compass and barometric gauge.  Heavy duty rubber strap,  hardened mineral crystal.","Mountain Man","Personal Accessories","Watches","Black","One-size","2003-03-05 00:00:00.000000"
"67110","Mountain Man Extreme","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.","Extreme","Personal Accessories","Watches","Silver","One-size","2006-10-26 00:00:00.000000"
"68110","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.","Polar","Personal Accessories","Eyewear","Silver","Women's","2001-02-15 00:00:00.000000"
"147120","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light.","Relax","Personal Accessories","Eyewear","Blue","Women's","2009-01-01 00:00:00.000000"
"147130","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light.","Relax","Personal Accessories","Eyewear","Brown","Women's","2009-01-01 00:00:00.000000"
"147140","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light.","Relax","Personal Accessories","Eyewear","Silver","Women's","2012-01-01 00:00:00.000000"
"88110","BugShield Lotion Lite","Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Contains 8.75% active ingredient for a lighter application. Odorless cream. 100 ml.","BugShield","Outdoor Protection","Insect Repellents","Clear","100 ml","2001-02-15 00:00:00.000000"
"89110","BugShield Lotion","Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Odorless cream. 100 ml.","BugShield","Outdoor Protection","Insect Repellents","Clear","100 ml","2001-02-15 00:00:00.000000"
"136120","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.","Relax","Personal Accessories","Watches","Orange","One-size","2009-01-01 00:00:00.000000"
"136130","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.","Relax","Personal Accessories","Watches","Pink","One-size","2012-07-01 00:00:00.000000"
"136140","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.","Relax","Personal Accessories","Watches","Red","One-size","2009-01-01 00:00:00.000000"
"132120","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty.","Alpha","Personal Accessories","Eyewear","Brown","Men's","2009-01-01 00:00:00.000000"
"132130","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty.","Alpha","Personal Accessories","Eyewear","Orange","Men's","2009-01-01 00:00:00.000000"
"132140","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty.","Alpha","Personal Accessories","Eyewear","Red","Men's","2012-06-01 00:00:00.000000"
"132150","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty.","Alpha","Personal Accessories","Eyewear","Silver","Men's","2011-04-01 00:00:00.000000"
"132160","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty.","Alpha","Personal Accessories","Eyewear","Yellow","Men's","2009-01-01 00:00:00.000000"
"132170","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty.","Alpha","Personal Accessories","Eyewear","Camouflage","Men's","2010-08-01 00:00:00.000000"
"133110","Opera Vision","3.6x opera glasses maintain image and color fidelity in all lighting conditions. The brushed aluminum body fits snugly into any purse or pocket. Includes a soft leather case and carrying loop.","Antoni","Personal Accessories","Binoculars","Camouflage","Unspecified","2009-01-01 00:00:00.000000"
"29110","Canyon Mule Carryall","This pack has a large capacity, perfect for carrying all your camping gear.  Solid metal zipper and leather bottom.","Canyon Mule","Camping Equipment","Packs","Blue","120000 cc","2003-03-05 00:00:00.000000"
"30110","Firefly Lite","Lightweight flashlight made from aircraft aluminum. Focusable beam, tail cap push button allows for single-handed operation. Uses two AA batteries, included.","Firefly","Camping Equipment","Lanterns","Black","5-hour","2003-03-05 00:00:00.000000"
"31110","Firefly Mapreader","Clip-on flashlight for map or book reading. Also comes with flexible fiber optic extension. Lightweight, uses only one AA battery, included.","Firefly","Camping Equipment","Lanterns","Yellow","5-hour","2003-03-05 00:00:00.000000"
"32110","Firefly 2","A high quality aluminum flashlight with Krypton bulb.  Uses two D batteries, included.","Firefly","Camping Equipment","Lanterns","Silver","12-hour","2001-02-15 00:00:00.000000"
"33110","Firefly 4","Made of solid plastic construction, adjustable beam (flood to spot), Krypton bulb.  Uses four D batteries, included.","Firefly","Camping Equipment","Lanterns","Yellow","25-hour","2003-03-05 00:00:00.000000"
"110110","Blue Steel Putter","This premium putter has copper mixed with lightweight aluminum for a smooth touch.","Blue Steel","Golf Equipment","Putters","Black","One-size","2009-12-10 00:00:00.000000"
"111110","Blue Steel Max Putter","Putter head is composed from a single piece of the softest carbon steel for optimum feel.","Blue Steel","Golf Equipment","Putters","Bronze","One-size","2009-12-15 00:00:00.000000"
"112110","Course Pro Golf and Tee Set","Set includes two premium golf ball and an assortment of wooden golf tees.","Course Pro","Golf Equipment","Golf Accessories","Multicolored","Unspecified","2010-01-10 00:00:00.000000"
"113110","Course Pro Umbrella","Large red and white patterned golf umbrella.","Course Pro","Golf Equipment","Golf Accessories","Red","Large","2010-01-15 00:00:00.000000"
"114110","Course Pro Golf Bag","High quality golf bag that includes carrying strap and large front pocket.","Course Pro","Golf Equipment","Golf Accessories","Grey","Unspecified","2009-12-15 00:00:00.000000"
"115110","Course Pro Gloves","Durable nylon constructed gloves with stitched leather palm.","Course Pro","Golf Equipment","Golf Accessories","Red","Medium","2009-12-27 00:00:00.000000"
"122110","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.","Antoni","Personal Accessories","Eyewear","Blue","Junior","2012-01-01 00:00:00.000000"
"147150","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light.","Relax","Personal Accessories","Eyewear","Camouflage","Men's","2010-08-01 00:00:00.000000"
"147160","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light.","Relax","Personal Accessories","Eyewear","Black","Men's","2009-01-01 00:00:00.000000"
"147170","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light.","Relax","Personal Accessories","Eyewear","Brown","Men's","2009-01-01 00:00:00.000000"
"144180","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Silver","Men's","2009-01-01 00:00:00.000000"
"147190","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light.","Relax","Personal Accessories","Eyewear","Camouflage","Women's","2013-01-01 00:00:00.000000"
"148110","Hawk Eye","Hawk Eye sunglasses are feather light and offer 100% ultraviolet protection.","Trakker","Personal Accessories","Eyewear","Black","Men's","2010-04-01 00:00:00.000000"
"148120","Hawk Eye","Hawk Eye sunglasses are feather light and offer 100% ultraviolet protection.","Trakker","Personal Accessories","Eyewear","Brown","Men's","2010-04-01 00:00:00.000000"
"148130","Hawk Eye","Hawk Eye sunglasses are feather light and offer 100% ultraviolet protection.","Trakker","Personal Accessories","Eyewear","Camouflage","Men's","2010-06-01 00:00:00.000000"
"136150","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.","Relax","Personal Accessories","Watches","Yellow","One-size","2013-04-01 00:00:00.000000"
"140110","Trail Master","A rubberized and water-resistant GPS receiver that includes a 70mm color screen, electronic compass and altimeter. Uses a 64MB memory card. Requires two AA batteries for 18 hours of service. Weighs 238 grams.","Alpha","Personal Accessories","Navigation","Black","Unspecified","2009-01-01 00:00:00.000000"
"141110","Trail Scout","This highly portable GPS has an 80mm color screen. Requires two AA batteries for 18 hours of service. Uses a 22MB memory card. Weighs 210 grams.","Alpha","Personal Accessories","Navigation","Black","Unspecified","2009-01-01 00:00:00.000000"
"142110","Trail Star","A light-weight GPS receiver with a 56mm monochrome display and 24MB internal memory. Requires two AA batteries for 26 hours of service. Weighs only 156 grams.","Alpha","Personal Accessories","Navigation","Silver","Unspecified","2009-01-01 00:00:00.000000"
"143110","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort.","Relax","Personal Accessories","Eyewear","Black","One-size","2009-01-01 00:00:00.000000"
"134110","Pocket Gizmo","A compact tool that includes LED light, blade, tweezers, reamer, screwdriver, file, corkscrew and can opener.","Trakker","Personal Accessories","Knives","Blue","8.4 cm","2009-01-01 00:00:00.000000"
"134120","Pocket Gizmo","A compact tool that includes LED light, blade, tweezers, reamer, screwdriver, file, corkscrew and can opener.","Trakker","Personal Accessories","Knives","Red","8.4 cm","2009-01-01 00:00:00.000000"
"134130","Pocket Gizmo","A compact tool that includes LED light, blade, tweezers, reamer, screwdriver, file, corkscrew and can opener.","Trakker","Personal Accessories","Knives","Silver","8.4 cm","2012-01-01 00:00:00.000000"
"134140","Pocket Gizmo","A compact tool that includes LED light, blade, tweezers, reamer, screwdriver, file, corkscrew and can opener.","Trakker","Personal Accessories","Knives","Camouflage","8.4 cm","2011-01-01 00:00:00.000000"
"135110","Ranger Vision","8x27x50 zoom binoculars include compass and range-finding reticle, multi-coated optics, and textured rubber armoring. Waterproof and lightweight.","Trakker","Personal Accessories","Binoculars","Black","Unspecified","2009-01-01 00:00:00.000000"
"34110","Firefly Extreme","The Firefly Extreme is under 15 cm long yet produces 7,000 candlepower using two lithium batteries and a Xenon bulb. Shock and water resistant. Weight: 135 g.","Extreme","Camping Equipment","Lanterns","Black","12-hour","2006-10-26 00:00:00.000000"
"35110","Firefly Multi-light","This light can be used as either a flashlight or as a lamp. Uses two C batteries, included.  Burn time 7-8 hours. Water-resistant.","Firefly","Camping Equipment","Lanterns","Orange","12-hour","2006-10-26 00:00:00.000000"
"36110","EverGlow Single","Light output approximates a 100 W bulb. Single mantle regulated. Porcelain dome. Uses 0.5 liter  propane cylinder (not included).","EverGlow","Camping Equipment","Lanterns","Blue","5-hour","2001-02-15 00:00:00.000000"
"123160","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.","Antoni","Personal Accessories","Eyewear","Yellow","Women's","2009-01-01 00:00:00.000000"
"124110","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.","Trakker","Personal Accessories","Eyewear","Brown","Women's","2009-01-01 00:00:00.000000"
"122120","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.","Antoni","Personal Accessories","Eyewear","Pink","Women's","2009-01-01 00:00:00.000000"
"122130","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.","Antoni","Personal Accessories","Eyewear","Silver","Junior","2011-01-01 00:00:00.000000"
"122140","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.","Antoni","Personal Accessories","Eyewear","White","Junior","2012-04-01 00:00:00.000000"
"122150","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color.","Antoni","Personal Accessories","Eyewear","Yellow","Junior","2013-06-01 00:00:00.000000"
"123110","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.","Antoni","Personal Accessories","Eyewear","Green","Women's","2010-10-01 00:00:00.000000"
"123120","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.","Antoni","Personal Accessories","Eyewear","Orange","Women's","2009-01-01 00:00:00.000000"
"123130","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.","Antoni","Personal Accessories","Eyewear","Pink","Women's","2013-04-01 00:00:00.000000"
"149110","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors.","Epoch","Personal Accessories","Eyewear","Blue","Women's","2013-06-01 00:00:00.000000"
"149120","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors.","Epoch","Personal Accessories","Eyewear","Green","Men's","2011-06-01 00:00:00.000000"
"149130","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors.","Epoch","Personal Accessories","Eyewear","Orange","Women's","2011-06-01 00:00:00.000000"
"149140","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors.","Epoch","Personal Accessories","Eyewear","Red","Women's","2011-04-01 00:00:00.000000"
"149150","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors.","Epoch","Personal Accessories","Eyewear","White","Women's","2013-01-01 00:00:00.000000"
"149160","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors.","Epoch","Personal Accessories","Eyewear","Yellow","Men's","2011-09-01 00:00:00.000000"
"143120","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort.","Relax","Personal Accessories","Eyewear","Brown","One-size","2009-01-01 00:00:00.000000"
"143130","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort.","Relax","Personal Accessories","Eyewear","Pink","One-size","2009-01-01 00:00:00.000000"
"143140","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort.","Relax","Personal Accessories","Eyewear","Silver","One-size","2012-04-01 00:00:00.000000"
"143150","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort.","Relax","Personal Accessories","Eyewear","White","One-size","2013-04-01 00:00:00.000000"
"144110","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Blue","Men's","2009-01-01 00:00:00.000000"
"135120","Ranger Vision","8x27x50 zoom binoculars include compass and range-finding reticle, multi-coated optics, and textured rubber armoring. Waterproof and lightweight.","Trakker","Personal Accessories","Binoculars","Silver","Unspecified","2009-01-01 00:00:00.000000"
"135130","Ranger Vision","8x27x50 zoom binoculars include compass and range-finding reticle, multi-coated optics, and textured rubber armoring. Waterproof and lightweight.","Trakker","Personal Accessories","Binoculars","Camouflage","Unspecified","2011-04-01 00:00:00.000000"
"136110","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.","Relax","Personal Accessories","Watches","Black","One-size","2013-01-01 00:00:00.000000"
"124120","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.","Trakker","Personal Accessories","Eyewear","Green","Women's","2010-10-01 00:00:00.000000"
"124130","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.","Trakker","Personal Accessories","Eyewear","Orange","Women's","2009-01-01 00:00:00.000000"
"124140","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.","Trakker","Personal Accessories","Eyewear","Pink","Women's","2009-01-01 00:00:00.000000"
"124150","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.","Trakker","Personal Accessories","Eyewear","Red","Women's","2012-04-01 00:00:00.000000"
"124160","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.","Trakker","Personal Accessories","Eyewear","White","Women's","2012-10-01 00:00:00.000000"
"124170","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.","Trakker","Personal Accessories","Eyewear","Yellow","Women's","2011-09-01 00:00:00.000000"
"124180","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.","Trakker","Personal Accessories","Eyewear","Camouflage","Women's","2012-10-01 00:00:00.000000"
"123140","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.","Antoni","Personal Accessories","Eyewear","Red","Women's","2011-10-01 00:00:00.000000"
"123150","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus.","Antoni","Personal Accessories","Eyewear","White","Women's","2012-10-01 00:00:00.000000"
"151110","Astro Pilot","This GPS has a high-contrast 86mm color screen that is viewable in sunlight. Requires four AA batteries for 15 hours of service. Uses a 30MB memory card. Weighs 340 grams.","Trakker","Personal Accessories","Navigation","Black","Unspecified","2011-06-01 00:00:00.000000"
"151120","Astro Pilot","This GPS has a high-contrast 86mm color screen that is viewable in sunlight. Requires four AA batteries for 15 hours of service. Uses a 30MB memory card. Weighs 340 grams.","Trakker","Personal Accessories","Navigation","Silver","Unspecified","2013-02-01 00:00:00.000000"
"151130","Astro Pilot","This GPS has a high-contrast 86mm color screen that is viewable in sunlight. Requires four AA batteries for 15 hours of service. Uses a 30MB memory card. Weighs 340 grams.","Trakker","Personal Accessories","Navigation","Yellow","Unspecified","2013-02-01 00:00:00.000000"
"152110","Sky Pilot","Small and lightweight, this GPS has a 55mm color screen and comes with a 32MB memory card. It includes an electronic compass and altimeter. Base maps are included. Requires two AA batteries for 18 hours of service. Weighs only 160 grams.","Trakker","Personal Accessories","Navigation","Black","Unspecified","2011-06-01 00:00:00.000000"
"144120","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Brown","Men's","2009-01-01 00:00:00.000000"
"144130","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Green","Men's","2013-01-01 00:00:00.000000"
"144140","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Yellow","Men's","2009-01-01 00:00:00.000000"
"144150","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Camouflage","Women's","2009-01-01 00:00:00.000000"
"144160","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Blue","Women's","2012-04-01 00:00:00.000000"
"144170","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Red","Women's","2009-01-01 00:00:00.000000"
"144190","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Yellow","Women's","2009-01-01 00:00:00.000000"
"124190","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant.","Trakker","Personal Accessories","Eyewear","Black","Women's","2009-01-01 00:00:00.000000"
"125110","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.","Relax","Personal Accessories","Watches","Black","One-size","2009-01-01 00:00:00.000000"
"125120","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.","Relax","Personal Accessories","Watches","Green","One-size","2009-01-01 00:00:00.000000"
"125130","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.","Relax","Personal Accessories","Watches","Orange","One-size","2013-07-01 00:00:00.000000"
"125140","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.","Relax","Personal Accessories","Watches","Pink","One-size","2009-01-01 00:00:00.000000"
"125150","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.","Relax","Personal Accessories","Watches","Red","One-size","2011-04-01 00:00:00.000000"
"125160","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.","Relax","Personal Accessories","Watches","White","One-size","2012-10-01 00:00:00.000000"
"153110","Auto Pilot","The Auto Pilot is an easy-to-use navigation system for the road. A 90mm color touchscreen and audio directions make exploration fast and fun. Comes with preloaded maps.","Trakker","Personal Accessories","Navigation","Silver","Unspecified","2012-06-01 00:00:00.000000"
"154110","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers.","Trakker","Personal Accessories","Watches","Blue","Men's","2009-01-01 00:00:00.000000"
"154120","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers.","Trakker","Personal Accessories","Watches","Brown","Men's","2009-01-01 00:00:00.000000"
"154130","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers.","Trakker","Personal Accessories","Watches","Green","Men's","2009-01-01 00:00:00.000000"
"154140","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers.","Trakker","Personal Accessories","Watches","Silver","Men's","2013-01-01 00:00:00.000000"
"144200","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable.","Xray","Personal Accessories","Watches","Camouflage","Men's","2011-10-01 00:00:00.000000"
"145110","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.","Epoch","Personal Accessories","Watches","Green","Women's","2009-01-01 00:00:00.000000"
"145120","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.","Epoch","Personal Accessories","Watches","Brown","Women's","2012-10-01 00:00:00.000000"
"145130","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.","Epoch","Personal Accessories","Watches","Silver","Women's","2009-01-01 00:00:00.000000"
"145140","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.","Epoch","Personal Accessories","Watches","Black","Men's","2012-07-01 00:00:00.000000"
"125170","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.","Relax","Personal Accessories","Watches","Yellow","One-size","2009-01-01 00:00:00.000000"
"126110","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.","Antoni","Personal Accessories","Eyewear","Blue","Women's","2009-01-01 00:00:00.000000"
"126120","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.","Antoni","Personal Accessories","Eyewear","Orange","Women's","2011-06-01 00:00:00.000000"
"126130","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.","Antoni","Personal Accessories","Eyewear","Pink","Women's","2009-01-01 00:00:00.000000"
"126140","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.","Antoni","Personal Accessories","Eyewear","Red","Women's","2009-01-01 00:00:00.000000"
"126150","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors.","Antoni","Personal Accessories","Eyewear","Silver","Women's","2012-06-01 00:00:00.000000"
"154150","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers.","Trakker","Personal Accessories","Watches","Camouflage","Men's","2010-07-01 00:00:00.000000"
"145150","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.","Epoch","Personal Accessories","Watches","Orange","Women's","2009-01-01 00:00:00.000000"
"145160","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.","Epoch","Personal Accessories","Watches","Pink","Men's","2009-01-01 00:00:00.000000"
"145170","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.","Epoch","Personal Accessories","Watches","Silver","Men's","2009-01-01 00:00:00.000000"
"145180","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.","Epoch","Personal Accessories","Watches","White","Women's","2012-04-01 00:00:00.000000"
"146110","Zodiak","The Zodiak has a durable synthetic leather strap, digital face, hardened crystal, and is water-resistant to 100 meters.","Trakker","Personal Accessories","Watches","Blue","Women's","2012-01-01 00:00:00.000000"
"146120","Zodiak","The Zodiak has a durable synthetic leather strap, digital face, hardened crystal, and is water-resistant to 100 meters.","Trakker","Personal Accessories","Watches","Brown","Women's","2011-04-01 00:00:00.000000"
"127110","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.","Alpha","Personal Accessories","Eyewear","Black","Men's","2009-01-01 00:00:00.000000"
"127120","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.","Alpha","Personal Accessories","Eyewear","Blue","Men's","2012-01-01 00:00:00.000000"
"127130","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.","Alpha","Personal Accessories","Eyewear","Brown","Men's","2009-01-01 00:00:00.000000"
"127140","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.","Alpha","Personal Accessories","Eyewear","Green","Men's","2012-08-01 00:00:00.000000"
"127150","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.","Alpha","Personal Accessories","Eyewear","Orange","Men's","2009-01-01 00:00:00.000000"
"128110","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.","Epoch","Personal Accessories","Eyewear","Green","Women's","2012-08-01 00:00:00.000000"
"146130","Zodiak","The Zodiak has a durable synthetic leather strap, digital face, hardened crystal, and is water-resistant to 100 meters.","Trakker","Personal Accessories","Watches","Green","Women's","2011-10-01 00:00:00.000000"
"146140","Zodiak","The Zodiak has a durable synthetic leather strap, digital face, hardened crystal, and is water-resistant to 100 meters.","Trakker","Personal Accessories","Watches","Silver","Women's","2011-07-01 00:00:00.000000"
"147110","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light.","Relax","Personal Accessories","Eyewear","Black","Women's","2009-01-01 00:00:00.000000"
"128120","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.","Epoch","Personal Accessories","Eyewear","Orange","Women's","2013-06-01 00:00:00.000000"
"128130","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.","Epoch","Personal Accessories","Eyewear","Red","Women's","2012-04-01 00:00:00.000000"
